,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
3812,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
3813,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
3814,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
3815,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
3816,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
3817,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
3818,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
3819,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
3820,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
3821,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
3822,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
3823,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
3824,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
3825,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
3826,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
3827,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
3828,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
3829,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
3830,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
3831,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
3832,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
3833,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
3834,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
3835,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
3836,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
3837,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
3838,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
3839,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
3840,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
3841,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
3842,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
3843,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
3844,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
3845,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
3846,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
3847,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
3848,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
3849,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
3850,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
3851,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
3852,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
3853,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
3854,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
3855,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
3856,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
3857,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
3858,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
3859,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
3860,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
3861,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
3862,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
3863,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
3864,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
3865,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
3866,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
3867,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
3868,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
3869,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
3870,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
3871,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
3872,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
3873,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
3874,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
3875,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
3876,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
3877,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
3878,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
3879,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
3880,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
3881,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
3882,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
3883,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
3884,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
3885,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
3886,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
3887,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
3888,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
3889,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
3890,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
3891,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
3892,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
3893,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
3894,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
3895,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
3896,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
3897,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
3898,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
3899,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
3900,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
3901,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
3902,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
3903,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
3904,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
3905,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
3906,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
3907,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
3908,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
3909,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
3910,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
3911,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
3912,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
3913,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
3914,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
3915,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
3916,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
3917,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
3918,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
3919,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
3920,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
3921,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
3922,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
3923,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
3924,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
3925,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
3926,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
3927,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
3928,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
3929,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
3930,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
3931,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
3932,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
3933,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
3934,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
3935,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
3936,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
3937,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
3938,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
3939,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
3940,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
3941,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
3942,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
3943,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
3944,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
3945,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
3946,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
3947,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
3948,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
3949,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
3950,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
3951,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
3952,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
3953,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
3954,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
3955,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
3956,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
3957,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
3958,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
3959,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
3960,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
3961,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
3962,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
3963,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
3964,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
3965,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
3966,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
3967,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
3968,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
3969,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
3970,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
3971,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
3972,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
3973,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
3974,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
3975,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
3976,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
3977,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
3978,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
3979,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
3980,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
3981,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
3982,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
3983,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
3984,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
3985,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
3986,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
3987,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
3988,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
3989,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
3990,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
3991,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
3992,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
3993,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
3994,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
3995,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
3996,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
3997,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
3998,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
3999,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
4000,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
4001,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
4002,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
4003,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
4004,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
4005,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
4006,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
4007,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
4008,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
4009,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
4010,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
4011,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
4012,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
4013,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
4014,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
4015,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
4016,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
4017,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
4018,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
4019,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
4020,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
4021,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
4022,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
4023,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
4024,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
4025,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
4026,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
4027,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
4028,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
4029,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
4030,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
4031,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
4032,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
4033,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
4034,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
4035,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
4036,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
4037,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
4038,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
4039,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
4040,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
4041,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
4042,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
4043,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
4044,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
4045,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
4046,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
4047,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
4048,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
4049,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
4050,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
4051,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
4052,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
4053,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
4054,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
4055,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
4056,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
4057,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
4058,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
4059,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
4060,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
4061,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
4062,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
4063,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
4064,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
4065,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
4066,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
4067,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
4068,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
4069,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
4070,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
4071,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
4072,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
4073,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
4074,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
4075,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
4076,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
4077,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
4078,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
4079,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
4080,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
4081,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
4082,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
4083,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
4084,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
4085,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
4086,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
4087,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
4088,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
4089,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
4090,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
4091,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
4092,Hipoglikemia,Muntah,Lelah,Cemas,Berkeringat
4093,Osteoartritis,Nyeri sendi,Sakit leher,Nyeri lutut,Nyeri sendi pinggul
4094,Radang sendi,Lemah otot,Leher kaku,Sendi bengkak,Kaku saat bergerak
4095,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
4096,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
4097,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
4098,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
4099,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
4100,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
4101,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
4102,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
4103,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
4104,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
4105,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
4106,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
4107,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
4108,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
4109,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
4110,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
4111,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
4112,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
4113,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
4114,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
4115,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
4116,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
4117,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
4118,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
4119,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
4120,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
